2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Trękusek 60, 63, 29-3/26 (GPO) (MDZ).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Wólka Majdańska 18, 20, od 22 do 24, 26, 19-11/5 (MDZ), 19-225/2, 19-225/1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Komorowo 13, 13/1, 14, 14/2, 15, 28, 28A, 32, 4-1178.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Rekownica od 22 do 24, 35, ., 117/17, 117/18, 117/24, 117/52, 12-22/6 (GPO) (MDZ), 12-68 (GPO) (MDZ), 19/4, dz. 117/65, dz19/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Szkotowo 49, 50, 50A, 60, 189/3, 20-200/1, dz. 200/1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Zagrzewo 1, 2, 4, 7, 9, 10, 12, 12/1, 13, od 17 do 22, 22/9, 23, 23/15, od 24 do 28, 28A, ., 33-12/13 (GPO), 33-17/85, dz. 33-17/12, dz. nr 16/4, dz. nr 17/36.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Jadamowo 1, 1A, 2, 2/2, 4/2, 6, 10, 16, 24, ., DWÓR, 19/9 (GPO), 21/2, 21/23, 21/30, 21/31, 21/6, 21/7, 37-21/39, 37-21/4 (GPO) (MDZ), Witramowo 2, 37-2/4 37-2/5 37-2/6.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Jurgi 21.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Marksewo 1, 4, od 6 do 10, od 12 do 15, 15A, 16, 17, 17A, 18, 19, 24, 24 C, 24A, 24H, 27, 27Y, 0012-217 (GPO) (MDZ), 12-161/15 (GPO), 12-161/17, 12-161/7, 12-212, 12-216/2 (GPO) (MDZ), 12-222, 12-235/9, 12-57/3, 12-58/16 (GPO) (MDZ), 12-73/1, 12-86/1, 12-9/19, 9/20, 161/6, 221, 228.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Piasutno 1, 15, 20, 22, 22a, od 23 do 25, 25A, od 26 do 28, 30, 33, 35, 37, 38, 38 g, 38B, 38d, 38R, 40, 40a, 41, 41 C, 41 d, 41A, 41i, 41J, 42A, 42D, 44, 45, 45 A, 46, 47, 49, 49/2, 51, 51c, 52/B, 53, 55, 57, 58, od 87 do 89, 89a, 89D, 90, 92, 92G, 92i, 92Ł, 92m, 92N, 94, 95, 95 A, 96, 96o, 97, 97B, 97c, 97d, 540, 543/3, 582/7, 582/8, 583-I, 597/7, 604, 605, 629/7, 630/4, 791/1, -, ..
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Wielbark , 6-51/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Rydzewo 32.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Gotardy 4, 6, 8, 12, 15, 16, 37, 53/1,52/1, dz. 13/1;13/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowe Niestępowo 27, 27A, 28, 31, Obrębek 36.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Białowieża 36, Moszyn 25, 37A, 50/5, 54/3, 56/1, 56/6, Olszak 22/J, 22I, 22L, 46/2 (GPO) (MDZ), 46/5 (GPO) (MDZ), 46/8, Olszak-46/13, olszak-46/16.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Spądoszyn 29, od 31 do 33, 35.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Budy Sułkowskie 21, Sułkowo Polne 40, od 42 do 44, 46, 47, 49, 52.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Osada 6, Sałki od 6 do 9, 11, 14, 14A, 15.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Piotrkówek .
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Helenów Słupski 46, Suserz 51, od 54 do 57, 60, 242/3.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Julianów 56, Julianów-5/1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Witów 56.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Julianów 59.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Adamowice od 34 do 37.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Franciszków 11, Kliny 6, 7.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Jaworzyna 12, 16.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Klonowiec Stary od 19 do 21, 23, 25, 27, 162/2, 198/2, 210/2, Klonowiec Stary-155, Klonowiec Stary-171.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Burkat 65, 66, 66/A, od 67 do 69, 73, 75, 139/6, 140/21, 144/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Bełk od 35 do 37, 38C.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Proszkowo 44/A, od 45 do 49, od 51 do 54, 68, 69, 538/1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Garwolewo od 56 do 59, Gawarzec Dolny , Gawarzec Górny od 20 do 22.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dzierzązna .
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowe Kucice od 15 do 17, 21, 74/5 (GPO) (MDZ).
